DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y_GE11,99,99,2022,40.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y_GE11,99,99,2023,41.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y_GE75,99,99,2022,24.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y_GE75,99,99,2023,24.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y11-13,99,99,2022,0.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y11-13,99,99,2023,1.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y14-17,99,99,2022,15.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y14-17,99,99,2023,10.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y18-19,99,99,2022,48.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y18-19,99,99,2023,37.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y20-24,99,99,2022,51.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_223(1.0),A,IT,11_ALC_FUORI,HSC,1,Y20-24,99,99,2023,54.7,,,,,,,,,,,,,
